Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
c0948ea9846ea7d24aff4e9978445c0c67e1af8381d8b50b287b8a4f7eae4a19,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.070465,51.460832,On or near Holmes Close,E01004021,Southwark 028D,Drugs,Offender given community sentence
1d3d282d36e4a84d9376e9e327047aff1e4b31b47d9956b7cb6f40ecf0c0d6f6,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.067159,51.445706,On or near Belvoir Road,E01003950,Southwark 032B,Drugs,Offender given a caution
eede44230fb1560f124e17d15b0634440b3b8683e88e029ac168f6cc64dc2693,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.090345,51.436356,On or near Croxted Road,E01003951,Southwark 033E,Drugs,Status update unavailable
3baa24f62c3437190340276793127c8b7c163074588cf54d907d8143344f41dd,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.102383,51.495804,On or near Princess Street,E01003932,Southwark 034B,Drugs,Offender given penalty notice
1a65d1e7f2c961707b8d14d03776f51c5fa66f29248d0d0eb7b873bbd334750f,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.10272,51.49705,On or near London Road,E01003932,Southwark 034B,Drugs,Offender given a drugs possession warning
746a6f8a9b4446584d3f8da72384a24f62551d0989f7fdebca9486d6790ab0e1,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.102831,51.496126,On or near Gaywood Street,E01003932,Southwark 034B,Drugs,Offender fined
10dd671a2bc8e9b1964efc951427cffb37b980a6be406ca597b77183e2a1f74d,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.103714,51.50435,On or near Scoresby Street,E01032583,Southwark 034D,Drugs,Offender given a caution
e4293d8e4c6f814962ca99749170845ebee4189fb5a5c5fef015569623c8266f,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.107262,51.500793,On or near Baron'S Place,E01032584,Southwark 034E,Drugs,Offender given a drugs possession warning
d8e72768a2af198432b92856a83f2ec2e6685d2fd3cefb56f7555d2beb090394,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.18106,51.388888,On or near Bishopsford Road,E01004189,Sutton 001E,Drugs,Offender given a drugs possession warning
82ab49df294f1ca348d2d00c145b832a752f978266fe3a96b9179a019f3d276c,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.156165,51.382492,On or near Helios Road,E01004186,Sutton 004D,Drugs,Status update unavailable
301a8e473bc03672df5f9e49d71b481df286167f69dd2e7cfd96c1ef9ee412a1,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.174103,51.376271,On or near Muschamp Road,E01004127,Sutton 005A,Drugs,Status update unavailable
6792a05e75a41dc881a4a16687ef3fd65e2546038015a3ef48a2418e72cf9b7c,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.169157,51.37239,On or near Highgrove Mews,E01004165,Sutton 005C,Drugs,Offender given a caution
01094daf4ba92132eb3efb63889943eeacb0e67ee85bcefc55353a0c4495b092,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.182111,51.375793,On or near Duke Of Edinburgh Road,E01004167,Sutton 005D,Drugs,Offender fined
fdeb34992a7705077ecbbbf7f91edf98c2ad9d0fb46cee3bf56ea0cb6a6c4de8,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.191678,51.375483,On or near Waverley Avenue,E01004144,Sutton 007A,Drugs,Offender fined
b9a2a9c4f8c5a9637e7efd3eca559b66da6d40fe905d04fcf65db9f066cf28f2,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.198655,51.376013,On or near Oakwood Gardens,E01004145,Sutton 007B,Drugs,Offender given penalty notice
